  Time[s]  Ip  I_CSU3  I_CSU2  I_CS1  I_CSL2  I_CSL3  I_PF1  I_PF2  I_PF3  I_PF4  I_PF5  I_PF6
   0.000000e+00     1.000000e-03     1.994400e+01     2.224421e+01     2.214061e+01     2.229628e+01     2.325470e+01     9.944000e+00     1.252800e+00     2.412238e-02     5.276244e-01    -1.816004e-01     9.641887e+00
   5.000000e-02     1.000000e-03     1.994549e+01     2.220573e+01     2.204479e+01     2.229310e+01     2.307534e+01     9.764712e+00     1.223817e+00     2.910068e-02     5.281054e-01    -1.749442e-01     9.534488e+00
   1.000000e-01     1.000000e-03     1.996479e+01     2.217359e+01     2.196138e+01     2.230111e+01     2.288348e+01     9.608254e+00     1.185107e+00     4.088924e-02     5.369373e-01    -1.693887e-01     9.429291e+00
   1.500000e-01     1.000000e-03     1.998614e+01     2.213937e+01     2.188036e+01     2.229750e+01     2.269970e+01     9.475475e+00     1.146365e+00     5.824768e-02     5.540592e-01    -1.656170e-01     9.328532e+00
   2.000000e-01     1.000000e-03     2.000794e+01     2.210691e+01     2.179999e+01     2.228977e+01     2.252122e+01     9.357894e+00     1.107869e+00     7.836592e-02     5.716504e-01    -1.655878e-01     9.231967e+00
   2.500000e-01     1.000000e-03     2.002888e+01     2.208050e+01     2.171836e+01     2.228615e+01     2.234532e+01     9.246902e+00     1.070424e+00     9.838797e-02     5.812288e-01    -1.711624e-01     9.139956e+00
   3.000000e-01     1.000000e-03     2.004862e+01     2.205955e+01     2.163515e+01     2.228600e+01     2.217152e+01     9.142076e+00     1.033832e+00     1.184915e-01     5.831619e-01    -1.821212e-01     9.052163e+00
   3.500000e-01     1.000000e-03     2.006833e+01     2.204187e+01     2.154300e+01     2.228498e+01     2.200056e+01     9.039672e+00     9.985595e-01     1.353581e-01     5.790925e-01    -1.947554e-01     8.967549e+00
   4.000000e-01     1.000000e-03     2.008938e+01     2.202551e+01     2.143487e+01     2.227899e+01     2.183336e+01     8.936072e+00     9.652403e-01     1.455929e-01     5.706247e-01    -2.054582e-01     8.885004e+00
   4.500000e-01     1.000000e-03     2.011174e+01     2.201052e+01     2.131129e+01     2.226812e+01     2.166978e+01     8.831295e+00     9.339172e-01     1.493782e-01     5.578726e-01    -2.143691e-01     8.804307e+00
   5.000000e-01     1.000000e-03     2.013572e+01     2.199599e+01     2.117789e+01     2.224660e+01     2.151095e+01     8.724378e+00     9.042868e-01     1.489639e-01     5.437920e-01    -2.220038e-01     8.725219e+00
   5.500000e-01     1.000000e-03     2.016165e+01     2.198104e+01     2.103961e+01     2.220913e+01     2.135800e+01     8.614460e+00     8.760131e-01     1.463151e-01     5.310089e-01    -2.288856e-01     8.647552e+00
   6.000000e-01     1.000000e-03     2.018953e+01     2.196564e+01     2.089635e+01     2.215594e+01     2.121087e+01     8.501615e+00     8.490774e-01     1.413655e-01     5.194184e-01    -2.351077e-01     8.571228e+00
   6.500000e-01     1.000000e-03     2.021881e+01     2.195252e+01     2.075750e+01     2.208658e+01     2.106944e+01     8.384714e+00     8.232883e-01     1.357482e-01     5.087413e-01    -2.407655e-01     8.496181e+00
   7.000000e-01     1.000000e-03     2.024899e+01     2.194373e+01     2.063043e+01     2.200054e+01     2.093358e+01     8.262837e+00     7.984518e-01     1.308114e-01     4.987146e-01    -2.459413e-01     8.422353e+00
   7.500000e-01     1.000000e-03     2.028003e+01     2.193890e+01     2.051440e+01     2.189781e+01     2.080321e+01     8.136079e+00     7.745170e-01     1.264581e-01     4.892583e-01    -2.506883e-01     8.349694e+00
   8.000000e-01     1.000000e-03     2.031334e+01     2.193198e+01     2.041251e+01     2.178673e+01     2.067623e+01     8.003614e+00     7.514783e-01     1.226154e-01     4.803026e-01    -2.550554e-01     8.278188e+00
   8.500000e-01     1.000000e-03     2.035003e+01     2.191847e+01     2.032693e+01     2.167343e+01     2.055092e+01     7.864854e+00     7.293277e-01     1.192218e-01     4.717851e-01    -2.590891e-01     8.207795e+00
   9.000000e-01     1.000000e-03     2.039010e+01     2.189826e+01     2.025701e+01     2.155745e+01     2.042712e+01     7.719948e+00     7.080224e-01     1.162211e-01     4.636485e-01    -2.628351e-01     8.138442e+00
   9.500000e-01     1.000000e-03     2.043726e+01     2.184926e+01     2.019951e+01     2.143922e+01     2.030462e+01     7.574217e+00     6.872445e-01     1.135383e-01     4.558359e-01    -2.663406e-01     8.070053e+00
   1.000000e+00     1.000000e-03     2.049420e+01     2.175659e+01     2.015244e+01     2.131902e+01     2.018323e+01     7.431261e+00     6.667158e-01     1.111100e-01     4.482965e-01    -2.696510e-01     8.002556e+00
   1.050000e+00     1.000000e-03     2.056080e+01     2.162150e+01     2.011584e+01     2.119689e+01     2.006282e+01     7.291049e+00     6.464256e-01     1.088921e-01     4.409879e-01    -2.727968e-01     7.935886e+00
   1.100000e+00     1.000000e-03     2.062902e+01     2.146742e+01     2.008624e+01     2.109188e+01     1.993896e+01     7.164448e+00     6.317536e-01     1.062224e-01     4.337346e-01    -2.748392e-01     7.870030e+00
   1.150000e+00     5.050000e-02     2.069309e+01     2.130858e+01     2.006035e+01     2.101563e+01     1.980856e+01     7.057806e+00     6.257638e-01     1.025124e-01     4.263192e-01    -2.752581e-01     7.804868e+00
   1.200000e+00     1.000000e-01     2.075250e+01     2.114397e+01     2.003617e+01     2.096677e+01     1.967168e+01     6.969996e+00     6.279370e-01     9.746521e-02     4.184918e-01    -2.742168e-01     7.740218e+00
   1.250000e+00     1.545455e-01     2.080744e+01     2.098334e+01     1.998963e+01     2.093744e+01     1.954725e+01     6.889033e+00     6.417456e-01     9.116717e-02     4.120908e-01    -2.684452e-01     7.679156e+00
   1.300000e+00     2.090909e-01     2.085811e+01     2.083217e+01     1.990668e+01     2.092282e+01     1.944613e+01     6.807906e+00     6.690241e-01     8.343230e-02     4.079416e-01    -2.563576e-01     7.622946e+00
   1.350000e+00     2.636364e-01     2.090422e+01     2.069092e+01     1.979070e+01     2.092252e+01     1.936759e+01     6.726584e+00     7.090935e-01     7.414941e-02     4.058528e-01    -2.384212e-01     7.570995e+00
   1.400000e+00     3.181818e-01     2.093278e+01     2.057695e+01     1.967769e+01     2.091009e+01     1.930105e+01     6.645921e+00     7.412561e-01     6.453748e-02     4.026110e-01    -2.212844e-01     7.520525e+00
   1.450000e+00     3.727273e-01     2.093686e+01     2.049878e+01     1.958562e+01     2.087178e+01     1.924121e+01     6.566971e+00     7.551572e-01     5.562603e-02     3.966850e-01    -2.081766e-01     7.470549e+00
   1.500000e+00     4.272727e-01     2.091696e+01     2.045489e+01     1.951291e+01     2.080913e+01     1.918817e+01     6.490308e+00     7.521305e-01     4.771049e-02     3.883164e-01    -1.987321e-01     7.421489e+00
   1.550000e+00     4.818182e-01     2.087838e+01     2.042383e+01     1.944519e+01     2.074770e+01     1.913102e+01     6.418478e+00     7.483699e-01     3.993453e-02     3.783683e-01    -1.916959e-01     7.374482e+00
   1.600000e+00     5.363636e-01     2.082390e+01     2.039564e+01     1.937581e+01     2.069994e+01     1.906427e+01     6.352327e+00     7.514135e-01     3.171748e-02     3.672608e-01    -1.864484e-01     7.330110e+00
   1.650000e+00     5.909091e-01     2.075407e+01     2.037060e+01     1.930533e+01     2.066532e+01     1.898823e+01     6.291493e+00     7.607507e-01     2.303001e-02     3.550882e-01    -1.828776e-01     7.288444e+00
   1.700000e+00     6.454545e-01     2.067874e+01     2.033953e+01     1.923557e+01     2.063562e+01     1.890847e+01     6.233583e+00     7.719137e-01     1.406195e-02     3.430325e-01    -1.799894e-01     7.249017e+00
   1.750000e+00     7.000000e-01     2.060253e+01     2.029831e+01     1.916698e+01     2.060712e+01     1.882759e+01     6.177575e+00     7.829810e-01     4.909826e-03     3.315989e-01    -1.773570e-01     7.211578e+00
   1.800000e+00     7.266667e-01     2.052549e+01     2.024722e+01     1.909942e+01     2.057984e+01     1.874564e+01     6.123496e+00     7.940234e-01    -4.436972e-03     3.207456e-01    -1.750001e-01     7.176111e+00
   1.850000e+00     7.533333e-01     2.045169e+01     2.019085e+01     1.903419e+01     2.054700e+01     1.866732e+01     6.070869e+00     8.033274e-01    -1.387088e-02     3.100321e-01    -1.730118e-01     7.141682e+00
   1.900000e+00     7.800000e-01     2.038607e+01     2.013451e+01     1.897282e+01     2.050031e+01     1.859852e+01     6.019128e+00     8.088410e-01    -2.320733e-02     2.989508e-01    -1.714679e-01     7.107174e+00
   1.950000e+00     8.066667e-01     2.032851e+01     2.007796e+01     1.891524e+01     2.044011e+01     1.853922e+01     5.968325e+00     8.107197e-01    -3.239463e-02     2.875236e-01    -1.703367e-01     7.072642e+00
   2.000000e+00     8.333333e-01     2.027892e+01     2.002103e+01     1.886135e+01     2.036666e+01     1.848939e+01     5.918494e+00     8.090678e-01    -4.139516e-02     2.757655e-01    -1.695960e-01     7.038130e+00
   2.050000e+00     8.600000e-01     2.023370e+01     1.996301e+01     1.880845e+01     2.028574e+01     1.844369e+01     5.868478e+00     8.058215e-01    -5.025832e-02     2.638522e-01    -1.690218e-01     7.002849e+00
   2.100000e+00     8.866667e-01     2.018850e+01     1.990323e+01     1.875333e+01     2.020442e+01     1.839551e+01     5.816851e+00     8.032700e-01    -5.909406e-02     2.519858e-01    -1.683409e-01     6.965875e+00
   2.150000e+00     9.133333e-01     2.014343e+01     1.984188e+01     1.869615e+01     2.012269e+01     1.834495e+01     5.763672e+00     8.013458e-01    -6.792443e-02     2.401589e-01    -1.675398e-01     6.927324e+00
   2.200000e+00     9.400000e-01     2.009855e+01     1.977910e+01     1.863701e+01     2.004056e+01     1.829208e+01     5.708991e+00     8.000091e-01    -7.676413e-02     2.283678e-01    -1.666051e-01     6.887274e+00
   2.250000e+00     9.666667e-01     2.005391e+01     1.971500e+01     1.857600e+01     1.995806e+01     1.823694e+01     5.652847e+00     7.992354e-01    -8.562443e-02     2.166102e-01    -1.655252e-01     6.845781e+00
   2.300000e+00     9.933333e-01     2.000953e+01     1.964966e+01     1.851319e+01     1.987522e+01     1.817957e+01     5.595273e+00     7.990080e-01    -9.451439e-02     2.048844e-01    -1.642904e-01     6.802890e+00
   2.350000e+00     1.020000e+00     1.996541e+01     1.958312e+01     1.844861e+01     1.979204e+01     1.812001e+01     5.536300e+00     7.993149e-01    -1.034418e-01     1.931884e-01    -1.628933e-01     6.758635e+00
   2.400000e+00     1.046667e+00     1.992156e+01     1.951542e+01     1.838230e+01     1.970854e+01     1.805829e+01     5.475954e+00     8.001467e-01    -1.124131e-01     1.815200e-01    -1.613289e-01     6.713043e+00
   2.450000e+00     1.073333e+00     1.987798e+01     1.944657e+01     1.831427e+01     1.962473e+01     1.799442e+01     5.414260e+00     8.014961e-01    -1.214340e-01     1.698773e-01    -1.595936e-01     6.666138e+00
   2.500000e+00     1.100000e+00     1.983467e+01     1.937660e+01     1.824454e+01     1.954061e+01     1.792841e+01     5.351241e+00     8.033571e-01    -1.305088e-01     1.582583e-01    -1.576852e-01     6.617940e+00
   2.550000e+00     1.125000e+00     1.979070e+01     1.930574e+01     1.817284e+01     1.945707e+01     1.786088e+01     5.287514e+00     8.054796e-01    -1.394464e-01     1.467626e-01    -1.555743e-01     6.569208e+00
   2.600000e+00     1.150000e+00     1.974489e+01     1.923427e+01     1.809884e+01     1.937512e+01     1.779252e+01     5.223822e+00     8.075538e-01    -1.480119e-01     1.355058e-01    -1.532445e-01     6.520820e+00
   2.650000e+00     1.175000e+00     1.969726e+01     1.916221e+01     1.802256e+01     1.929471e+01     1.772328e+01     5.160159e+00     8.095785e-01    -1.562148e-01     1.244765e-01    -1.507180e-01     6.472714e+00
   2.700000e+00     1.200000e+00     1.964782e+01     1.908957e+01     1.794406e+01     1.921577e+01     1.765312e+01     5.096519e+00     8.115532e-01    -1.640606e-01     1.136676e-01    -1.480105e-01     6.424848e+00
   2.750000e+00     1.225000e+00     1.959659e+01     1.901638e+01     1.786338e+01     1.913827e+01     1.758204e+01     5.032903e+00     8.134784e-01    -1.715519e-01     1.030752e-01    -1.451342e-01     6.377190e+00
   2.800000e+00     1.250000e+00     1.954357e+01     1.894265e+01     1.778058e+01     1.906217e+01     1.751002e+01     4.969309e+00     8.153554e-01    -1.786891e-01     9.269788e-02    -1.420974e-01     6.329718e+00
   2.850000e+00     1.275000e+00     1.948878e+01     1.886838e+01     1.769569e+01     1.898744e+01     1.743706e+01     4.905738e+00     8.171865e-01    -1.854711e-01     8.253569e-02    -1.389061e-01     6.282417e+00
   2.900000e+00     1.300000e+00     1.943224e+01     1.879359e+01     1.760876e+01     1.891408e+01     1.736316e+01     4.842193e+00     8.189743e-01    -1.918961e-01     7.258983e-02    -1.355640e-01     6.235274e+00
   2.950000e+00     1.325000e+00     1.937395e+01     1.871828e+01     1.751982e+01     1.884206e+01     1.728832e+01     4.778673e+00     8.207214e-01    -1.979621e-01     6.286156e-02    -1.320737e-01     6.188281e+00
   3.000000e+00     1.350000e+00     1.931394e+01     1.864248e+01     1.742890e+01     1.877136e+01     1.721255e+01     4.715180e+00     8.224302e-01    -2.036672e-01     5.335236e-02    -1.284366e-01     6.141433e+00
   3.050000e+00     1.375000e+00     1.925242e+01     1.856750e+01     1.733670e+01     1.870337e+01     1.713582e+01     4.651870e+00     8.238719e-01    -2.089619e-01     4.413337e-02    -1.249096e-01     6.094824e+00
   3.100000e+00     1.400000e+00     1.918961e+01     1.849495e+01     1.724409e+01     1.863976e+01     1.705806e+01     4.588933e+00     8.247768e-01    -2.137741e-01     3.530561e-02    -1.217965e-01     6.048582e+00
   3.150000e+00     1.425000e+00     1.912551e+01     1.842480e+01     1.715114e+01     1.858048e+01     1.697928e+01     4.526367e+00     8.251729e-01    -2.180817e-01     2.689418e-02    -1.190716e-01     6.002712e+00
   3.200000e+00     1.450000e+00     1.906013e+01     1.835698e+01     1.705784e+01     1.852545e+01     1.689947e+01     4.464169e+00     8.250789e-01    -2.218698e-01     1.891580e-02    -1.167159e-01     5.957214e+00
   3.250000e+00     1.475000e+00     1.899346e+01     1.829144e+01     1.696411e+01     1.847462e+01     1.681865e+01     4.402330e+00     8.245024e-01    -2.251335e-01     1.137539e-02    -1.147198e-01     5.912086e+00
