Time[s]   Ip   I_CSU3   I_CSU2   I_CS1   I_CSL2   I_CSL3   I_PF1   I_PF2   I_PF3   I_PF4   I_PF5   I_PF6   
0.0  0.001  19.944  22.24421  22.14061  22.29628  23.2547  9.944  1.2528  0.02412238  0.5276244  -0.1816004  9.641887  
0.05  0.001  19.94549  22.20573  22.04479  22.2931  23.07534  9.764712  1.223817  0.02910068  0.5281054  -0.1749442  9.534488  
0.1  0.001  19.96479  22.17359  21.96138  22.30111  22.88348  9.608254  1.185107  0.04088924  0.5369373  -0.1693887  9.429291  
0.15  0.001  19.98614  22.13937  21.88036  22.2975  22.6997  9.475475  1.146365  0.05824768  0.5540592  -0.165617  9.328532  
0.2  0.001  20.00794  22.10691  21.79999  22.28977  22.52122  9.357894  1.107869  0.07836592  0.5716504  -0.1655878  9.231967  
0.25  0.001  20.02888  22.0805  21.71836  22.28615  22.34532  9.246902  1.070424  0.09838797  0.5812288  -0.1711624  9.139956  
0.3  0.001  20.04862  22.05955  21.63515  22.286  22.17152  9.142076  1.033832  0.1184915  0.5831619  -0.1821212  9.052163  
0.35  0.001  20.06833  22.04187  21.543  22.28498  22.00056  9.039672  0.9985595  0.1353581  0.5790925  -0.1947554  8.967549  
0.4  0.001  20.08938  22.02551  21.43487  22.27899  21.83336  8.936072  0.9652403  0.1455929  0.5706247  -0.2054582  8.885004  
0.45  0.001  20.11174  22.01052  21.31129  22.26812  21.66978  8.831295  0.9339172  0.1493782  0.5578726  -0.2143691  8.804307  
0.5  0.001  20.13572  21.99599  21.17789  22.2466  21.51095  8.724378  0.9042868  0.1489639  0.543792  -0.2220038  8.725219  
0.55  0.001  20.16165  21.98104  21.03961  22.20913  21.358  8.61446  0.8760131  0.1463151  0.5310089  -0.2288856  8.647552  
0.6  0.001  20.18953  21.96564  20.89635  22.15594  21.21087  8.501615  0.8490774  0.1413655  0.5194184  -0.2351077  8.571228  
0.65  0.001  20.21881  21.95252  20.7575  22.08658  21.06944  8.384714  0.8232883  0.1357482  0.5087413  -0.2407655  8.496181  
0.7  0.001  20.24899  21.94373  20.63043  22.00054  20.93358  8.262837  0.7984518  0.1308114  0.4987146  -0.2459413  8.422353  
0.75  0.001  20.28003  21.9389  20.5144  21.89781  20.80321  8.136079  0.774517  0.1264581  0.4892583  -0.2506883  8.349694  
0.8  0.001  20.31334  21.93198  20.41251  21.78673  20.67623  8.003614  0.7514783  0.1226154  0.4803026  -0.2550554  8.278188  
0.85  0.001  20.35003  21.91847  20.32693  21.67343  20.55092  7.864854  0.7293277  0.1192218  0.4717851  -0.2590891  8.207795  
0.9  0.001  20.3901  21.89826  20.25701  21.55745  20.42712  7.719948  0.7080224  0.1162211  0.4636485  -0.2628351  8.138442  
0.95  0.001  20.43726  21.84926  20.19951  21.43922  20.30462  7.574217  0.6872445  0.1135383  0.4558359  -0.2663406  8.070053  
1.0  0.001  20.4942  21.75659  20.15244  21.31902  20.18323  7.431261  0.6667158  0.11111  0.4482965  -0.269651  8.002556  
1.05  0.001  20.5608  21.6215  20.11584  21.19689  20.06282  7.291049  0.6464256  0.1088921  0.4409879  -0.2727968  7.935886  
1.1  0.001  20.62902  21.46742  20.08624  21.09188  19.93896  7.164448  0.6317536  0.1062224  0.4337346  -0.2748392  7.87003  
1.15  0.0505  20.69309  21.30858  20.06035  21.01563  19.80856  7.057806  0.6257638  0.1025124  0.4263192  -0.2752581  7.804868  
1.2  0.1  20.7525  21.14397  20.03617  20.96677  19.67168  6.969996  0.627937  0.09746521  0.4184918  -0.2742168  7.740218  
1.25  0.1545455  20.80744  20.98334  19.98963  20.93744  19.54725  6.889033  0.6417456  0.09116717  0.4120908  -0.2684452  7.679156  
1.3  0.2090909  20.85811  20.83217  19.90668  20.92282  19.44613  6.807906  0.6690241  0.0834323  0.4079416  -0.2563576  7.622946  
1.35  0.2636364  20.90422  20.69092  19.7907  20.92252  19.36759  6.726584  0.7090935  0.07414941  0.4058528  -0.2384212  7.570995  
1.4  0.3181818  20.93278  20.57695  19.67769  20.91009  19.30105  6.645921  0.7412561  0.06453748  0.402611  -0.2212844  7.520525  
1.45  0.3727273  20.93686  20.49878  19.58562  20.87178  19.24121  6.566971  0.7551572  0.05562603  0.396685  -0.2081766  7.470549  
1.5  0.4272727  20.91696  20.45489  19.51291  20.80913  19.18817  6.490308  0.7521305  0.04771049  0.3883164  -0.1987321  7.421489  
1.55  0.4818182  20.87838  20.42383  19.44519  20.7477  19.13102  6.418478  0.7483699  0.03993453  0.3783683  -0.1916959  7.374482  
1.6  0.5363636  20.8239  20.39564  19.37581  20.69994  19.06427  6.352327  0.7514135  0.03171748  0.3672608  -0.1864484  7.33011  
1.65  0.5909091  20.75407  20.3706  19.30533  20.66532  18.98823  6.291493  0.7607507  0.02303001  0.3550882  -0.1828776  7.288444  
1.7  0.6454545  20.67874  20.33953  19.23557  20.63562  18.90847  6.233583  0.7719137  0.01406195  0.3430325  -0.1799894  7.249017  
1.75  0.7  20.60253  20.29831  19.16698  20.60712  18.82759  6.177575  0.782981  0.004909826  0.3315989  -0.177357  7.211578  
1.8  0.7266667  20.52549  20.24722  19.09942  20.57984  18.74564  6.123496  0.7940234  -0.004436972  0.3207456  -0.1750001  7.176111  
1.85  0.7533333  20.45169  20.19085  19.03419  20.547  18.66732  6.070869  0.8033274  -0.01387088  0.3100321  -0.1730118  7.141682  
1.9  0.78  20.38607  20.13451  18.97282  20.50031  18.59852  6.019128  0.808841  -0.02320733  0.2989508  -0.1714679  7.107174  
1.95  0.8066667  20.32851  20.07796  18.91524  20.44011  18.53922  5.968325  0.8107197  -0.03239463  0.2875236  -0.1703367  7.072642  
2.0  0.8333333  20.27892  20.02103  18.86135  20.36666  18.48939  5.918494  0.8090678  -0.04139516  0.2757655  -0.169596  7.03813  
2.05  0.86  20.2337  19.96301  18.80845  20.28574  18.44369  5.868478  0.8058215  -0.05025832  0.2638522  -0.1690218  7.002849  
