  Time[s]  Ip  I_CSU3  I_CSU2  I_CS1  I_CSL2  I_CSL3  I_PF1  I_PF2  I_PF3  I_PF4  I_PF5  I_P
   0.000000e+00     1.000000e-03     1.662000e+01     1.662000e+01     1.662000e+01     1.662000e+01     1.662000e+01     7.150196e+00     1.010114e+00     1.601616e-02     2.796986e-01    -1.457215e-01     7.087197e+00
   5.000000e-02     1.000000e-03     1.658591e+01     1.654734e+01     1.648766e+01     1.661655e+01     1.634347e+01     6.994197e+00     9.811845e-01     1.384720e-02     2.762183e-01    -1.490329e-01     7.030235e+00
   1.000000e-01     1.000000e-03     1.657576e+01     1.648460e+01     1.635172e+01     1.663294e+01     1.607385e+01     6.841251e+00     9.438584e-01     1.796898e-02     2.774171e-01    -1.500778e-01     6.977102e+00
   1.500000e-01     1.000000e-03     1.656851e+01     1.642644e+01     1.620877e+01     1.665043e+01     1.581330e+01     6.695945e+00     9.076195e-01     2.843970e-02     2.835861e-01    -1.481938e-01     6.927766e+00
   2.000000e-01     1.000000e-03     1.656343e+01     1.637218e+01     1.606216e+01     1.666811e+01     1.555963e+01     6.556788e+00     8.721535e-01     4.337108e-02     2.931301e-01    -1.445433e-01     6.881074e+00
   2.500000e-01     1.000000e-03     1.656003e+01     1.632098e+01     1.592196e+01     1.668468e+01     1.530929e+01     6.421953e+00     8.379707e-01     5.805698e-02     3.020654e-01    -1.417132e-01     6.835832e+00
   3.000000e-01     1.000000e-03     1.655787e+01     1.627211e+01     1.578781e+01     1.669955e+01     1.506170e+01     6.290870e+00     8.048917e-01     7.230127e-02     3.102980e-01    -1.397821e-01     6.791761e+00
   3.500000e-01     1.000000e-03     1.655623e+01     1.622446e+01     1.565839e+01     1.671174e+01     1.481684e+01     6.163095e+00     7.727636e-01     8.597476e-02     3.175670e-01    -1.388912e-01     6.748602e+00
   4.000000e-01     1.000000e-03     1.655226e+01     1.617395e+01     1.552917e+01     1.671672e+01     1.457673e+01     6.037946e+00     7.417583e-01     9.784214e-02     3.212649e-01    -1.402444e-01     6.705668e+00
   4.500000e-01     1.000000e-03     1.654530e+01     1.611968e+01     1.539914e+01     1.671358e+01     1.434168e+01     5.915149e+00     7.118661e-01     1.077288e-01     3.209865e-01    -1.439779e-01     6.662837e+00
   5.000000e-01     1.000000e-03     1.653535e+01     1.606155e+01     1.526815e+01     1.670245e+01     1.411154e+01     5.794559e+00     6.830356e-01     1.156833e-01     3.168848e-01    -1.499814e-01     6.620110e+00
   5.500000e-01     1.000000e-03     1.652590e+01     1.599821e+01     1.513191e+01     1.668862e+01     1.388709e+01     5.676468e+00     6.553320e-01     1.205758e-01     3.101751e-01    -1.574332e-01     6.577135e+00
   6.000000e-01     1.000000e-03     1.651877e+01     1.592897e+01     1.498829e+01     1.667484e+01     1.366863e+01     5.560969e+00     6.288001e-01     1.218150e-01     3.015238e-01    -1.659164e-01     6.533690e+00
   6.500000e-01     1.000000e-03     1.651384e+01     1.585389e+01     1.483750e+01     1.666099e+01     1.345599e+01     5.447948e+00     6.034384e-01     1.194533e-01     2.909701e-01    -1.754318e-01     6.489755e+00
   7.000000e-01     1.000000e-03     1.651048e+01     1.577403e+01     1.469582e+01     1.663782e+01     1.324732e+01     5.337353e+00     5.789822e-01     1.150875e-01     2.796331e-01    -1.852440e-01     6.446025e+00
   7.500000e-01     1.000000e-03     1.650773e+01     1.569051e+01     1.458633e+01     1.659174e+01     1.304006e+01     5.229146e+00     5.549824e-01     1.110000e-01     2.690737e-01    -1.943506e-01     6.403496e+00
   8.000000e-01     1.000000e-03     1.650548e+01     1.560287e+01     1.450763e+01     1.652298e+01     1.283420e+01     5.123231e+00     5.313687e-01     1.071060e-01     2.591931e-01    -2.028654e-01     6.362100e+00
   8.500000e-01     1.000000e-03     1.650429e+01     1.550615e+01     1.445461e+01     1.643302e+01     1.262943e+01     5.019218e+00     5.080838e-01     1.033917e-01     2.498918e-01    -2.108797e-01     6.321781e+00
   9.000000e-01     1.000000e-03     1.650684e+01     1.538285e+01     1.441185e+01     1.632675e+01     1.242479e+01     4.915934e+00     4.850899e-01     1.000523e-01     2.410562e-01    -2.184723e-01     6.282504e+00
   9.500000e-01     1.000000e-03     1.651342e+01     1.523216e+01     1.437819e+01     1.620480e+01     1.222009e+01     4.813279e+00     4.623415e-01     9.704569e-02     2.326106e-01    -2.257064e-01     6.244217e+00
   1.000000e+00     1.000000e-03     1.652383e+01     1.505734e+01     1.435337e+01     1.606822e+01     1.201609e+01     4.711846e+00     4.397738e-01     9.431434e-02     2.244949e-01    -2.326339e-01     6.206822e+00
   1.050000e+00     1.000000e-03     1.653523e+01     1.488954e+01     1.433214e+01     1.592723e+01     1.182266e+01     4.618591e+00     4.169736e-01     9.177882e-02     2.166538e-01    -2.392952e-01     6.169646e+00
   1.100000e+00     1.000000e-03     1.654640e+01     1.473686e+01     1.431292e+01     1.578454e+01     1.164225e+01     4.535165e+00     3.937515e-01     8.938923e-02     2.090436e-01    -2.457294e-01     6.132396e+00
   1.150000e+00     5.050000e-02     1.655701e+01     1.459828e+01     1.429479e+01     1.563990e+01     1.147436e+01     4.461134e+00     3.700328e-01     8.704631e-02     2.015523e-01    -2.520042e-01     6.094961e+00
   1.200000e+00     1.000000e-01     1.656179e+01     1.448045e+01     1.426192e+01     1.552263e+01     1.131803e+01     4.394147e+00     3.565672e-01     8.413693e-02     1.935892e-01    -2.566833e-01     6.060513e+00
   1.250000e+00     1.545455e-01     1.655687e+01     1.438864e+01     1.420405e+01     1.545386e+01     1.117210e+01     4.332196e+00     3.609566e-01     8.009098e-02     1.847388e-01    -2.588049e-01     6.031102e+00
   1.300000e+00     2.090909e-01     1.654210e+01     1.432194e+01     1.412089e+01     1.543171e+01     1.103587e+01     4.274714e+00     3.824399e-01     7.455372e-02     1.747405e-01    -2.586727e-01     6.006187e+00
   1.350000e+00     2.636364e-01     1.651610e+01     1.427238e+01     1.402089e+01     1.543980e+01     1.090643e+01     4.220878e+00     4.111481e-01     6.802280e-02     1.640143e-01    -2.569351e-01     5.984262e+00
