      4    18
          .53900E+01  .75640E+02  .12245E+03  .00000E+00
         -.50000E+00 -.25000E+00  .00000E+00  .25000E+00  .50000E+00
          .75000E+00  .10000E+01  .12500E+01  .15000E+01  .17500E+01
          .20000E+01  .22500E+01  .25000E+01  .27500E+01  .30000E+01
          .35000E+01  .40000E+01  .50000E+01
         -.70490E+01 -.36260E+01 -.16280E+01 -.44800E+00  .24900E+00
          .65800E+00  .89100E+00  .10170E+01  .10780E+01  .10970E+01
          .10900E+01  .10640E+01  .10220E+01  .96900E+00  .90700E+00
          .76100E+00  .59400E+00  .22500E+00
          .15016E+02  .11043E+02  .58632E+01  .36401E+01  .21003E+01
          .12307E+01  .68084E+00  .35392E+00  .14746E+00  .16227E-01
         -.68369E-01 -.13875E+00 -.19263E+00 -.23073E+00 -.26445E+00
         -.31585E+00 -.35014E+00 -.37843E+00
         -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02
         -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02
         -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02
         -.30000E+02 -.30000E+02 -.30000E+02
          .00000E+00  .00000E+00  .00000E+00  .00000E+00  .00000E+00
          .00000E+00  .00000E+00  .00000E+00  .00000E+00  .00000E+00
          .00000E+00  .00000E+00  .00000E+00  .00000E+00  .00000E+00
          .00000E+00  .00000E+00  .00000E+00
         -.91112E+00  .36788E+00  .11419E+01  .16349E+01  .19499E+01
          .21459E+01  .22599E+01  .23179E+01  .23419E+01  .23459E+01
          .23389E+01  .23199E+01  .22879E+01  .22429E+01  .21879E+01
          .20519E+01  .18929E+01  .15319E+01
          .55882E+01  .41716E+01  .23613E+01  .15872E+01  .98577E+00
          .60167E+00  .32756E+00  .15209E+00  .48075E-01 -.83906E-02
         -.50513E-01 -.10156E+00 -.15526E+00 -.20141E+00 -.23911E+00
         -.29852E+00 -.33681E+00 -.37309E+00
         -.46761E+02 -.37727E+02 -.28693E+02 -.19659E+02 -.11449E+02
         -.67770E+01 -.40950E+01 -.25340E+01 -.16090E+01 -.10490E+01
         -.70900E+00 -.50700E+00 -.39700E+00 -.34800E+00 -.34000E+00
         -.39900E+00 -.51500E+00 -.82900E+00
          .36135E+02  .36135E+02  .36135E+02  .36135E+02  .26249E+02
          .13452E+02  .81916E+01  .46979E+01  .28489E+01  .17267E+01
          .10444E+01  .59956E+00  .30130E+00  .10322E+00 -.30191E-01
         -.18730E+00 -.27062E+00 -.33569E+00
         -.42450E+01 -.44130E+01 -.45930E+01 -.47860E+01 -.49930E+01
         -.52140E+01 -.53820E+01 -.51870E+01 -.49580E+01 -.49380E+01
         -.50710E+01 -.52940E+01 -.55700E+01 -.58760E+01 -.61980E+01
         -.68690E+01 -.75550E+01 -.89430E+01
         -.66187E+00 -.69226E+00 -.74509E+00 -.80337E+00 -.84145E+00
         -.96685E+00  .40832E-01  .11275E+01  .53708E+00 -.28786E+00
         -.74164E+00 -.10176E+01 -.11761E+01 -.12622E+01 -.13111E+01
         -.13628E+01 -.13797E+01 -.13921E+01
         -.46871E+01 -.46111E+01 -.45431E+01 -.44821E+01 -.44241E+01
         -.28351E+01 -.80212E+00  .34688E+00  .99888E+00  .13749E+01
          .15939E+01  .17179E+01  .17799E+01  .17979E+01  .17859E+01
          .17039E+01  .15769E+01  .12509E+01
          .33877E+00  .23445E+00  .45141E+00 -.49209E+00  .29450E+01
          .84763E+01  .66140E+01  .32519E+01  .19904E+01  .11225E+01
          .65946E+00  .35563E+00  .15003E+00  .42628E-02 -.95079E-01
         -.21805E+00 -.28671E+00 -.34565E+00
         -.51293E+02 -.43062E+02 -.34830E+02 -.26599E+02 -.18368E+02
         -.10888E+02 -.66340E+01 -.41960E+01 -.27860E+01 -.19600E+01
         -.14720E+01 -.11830E+01 -.10180E+01 -.93300E+00 -.89900E+00
         -.92700E+00 -.10250E+01 -.13210E+01
          .32925E+02  .32925E+02  .32925E+02  .32925E+02  .32925E+02
          .23910E+02  .12241E+02  .74281E+01  .42221E+01  .25154E+01
          .14842E+01  .87194E+00  .47610E+00  .22367E+00  .57215E-01
         -.14263E+00 -.24268E+00 -.32266E+00
         -.34960E+01 -.36390E+01 -.37880E+01 -.39460E+01 -.41120E+01
         -.42880E+01 -.44680E+01 -.45080E+01 -.42610E+01 -.41250E+01
         -.41790E+01 -.43610E+01 -.46180E+01 -.49180E+01 -.52430E+01
         -.59290E+01 -.66360E+01 -.80740E+01
         -.56764E+00 -.58073E+00 -.61345E+00 -.64946E+00 -.67671E+00
         -.74769E+00 -.60451E+00  .52573E+00  .98558E+00  .12796E+00
         -.51343E+00 -.90624E+00 -.11296E+01 -.12594E+01 -.13329E+01
         -.13999E+01 -.14257E+01 -.14442E+01
         -.39351E+01 -.38341E+01 -.37401E+01 -.36541E+01 -.35741E+01
         -.34951E+01 -.22771E+01 -.62612E+00  .32088E+00  .86088E+00
          .11709E+01  .13479E+01  .14429E+01  .14839E+01  .14879E+01
          .14269E+01  .13119E+01  .99988E+00
          .40423E+00  .40353E+00  .32165E+00  .46986E+00 -.20911E+00
          .22746E+01  .66749E+01  .54540E+01  .26852E+01  .16492E+01
          .91818E+00  .52215E+00  .25724E+00  .80900E-01 -.40839E-01
         -.18677E+00 -.26808E+00 -.33396E+00
         -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02
         -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02
         -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02
         -.30000E+02 -.30000E+02 -.30000E+02
